MS3_id	ipro_id	ipro_descr
MS3_02355	IPR018798	Multivesicular body subunit 12
MS3_02356	IPR024518	Domain of unknown function DUF3421
MS3_02357	IPR006214	Bax inhibitor 1-related
MS3_02358	IPR001611	Leucine-rich repeat
MS3_02359	IPR024518	Domain of unknown function DUF3421
MS3_02361	IPR000719	Protein kinase domain
MS3_02362	IPR001365	Adenosine/AMP deaminase domain
MS3_02364	IPR000608	Ubiquitin-conjugating enzyme E2
MS3_02365	IPR019002	Ribosome biogenesis protein Nop16
MS3_02366	IPR012486	N1221-like
MS3_02366	IPR021819	Protein of unknown function DUF3402
MS3_02367	IPR001478	PDZ domain
MS3_02368	IPR006689	Small GTPase superfamily, ARF/SAR type
MS3_02369	IPR006133	DNA-directed DNA polymerase, family B, exonuclease domain
MS3_02369	IPR006134	DNA-directed DNA polymerase, family B, multifunctional domain
MS3_02369	IPR025687	C4-type zinc-finger of DNA polymerase delta
MS3_02371	IPR001806	Small GTPase superfamily
MS3_02375	IPR001806	Small GTPase superfamily
MS3_02376	IPR000719	Protein kinase domain
MS3_02377	IPR001680	WD40 repeat
MS3_02380	IPR000719	Protein kinase domain
MS3_02381	IPR011262	DNA-directed RNA polymerase, insert domain
MS3_02381	IPR011263	DNA-directed RNA polymerase, RpoA/D/Rpb3-type
MS3_02382	IPR001895	Ras guanine-nucleotide exchange factors catalytic domain
MS3_02383	IPR029358	Protein of unknown function DUF4586
MS3_02384	IPR002554	Protein phosphatase 2A, regulatory B subunit, B56
MS3_02389	IPR033464	CSN8/PSMD8/EIF3K
MS3_02390	IPR027486	Ribosomal protein S10 domain
MS3_02391	IPR011705	BTB/Kelch-associated
MS3_02392	IPR006895	Zinc finger, Sec23/Sec24-type
MS3_02392	IPR006896	Sec23/Sec24, trunk domain
MS3_02392	IPR006900	Sec23/Sec24, helical domain
MS3_02392	IPR007123	Gelsolin-like domain
MS3_02392	IPR012990	Sec23/Sec24 beta-sandwich
MS3_02393	IPR024771	SUZ domain
MS3_02394	IPR002554	Protein phosphatase 2A, regulatory B subunit, B56
MS3_02395	IPR027918	Hydrolethalus syndrome protein 1, C-terminal domain
MS3_02396	IPR001849	Pleckstrin homology domain
MS3_02397	IPR019024	Ribonuclease H2, subunit B
MS3_02398	IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain
MS3_02398	IPR004100	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
MS3_02398	IPR031686	ATPsynthase alpha/beta subunit, N-terminal extension
MS3_02399	IPR015868	Glutaminase
MS3_02400	IPR006693	Partial AB-hydrolase lipase domain
MS3_02401	IPR013057	Amino acid transporter, transmembrane domain
MS3_02404	IPR001394	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
MS3_02409	IPR000904	Sec7 domain
MS3_02412	IPR002909	IPT domain
MS3_02413	IPR024084	Isopropylmalate dehydrogenase-like domain
MS3_02415	IPR025258	Putative zinc-RING and/or ribbon
MS3_02417	IPR024986	Sister chromatid cohesion C-terminal domain
MS3_02417	IPR026003	HEAT repeat associated with sister chromatid cohesion protein
MS3_02418	IPR019342	NADH:ubiquinone oxidoreductase, iron-sulphur subunit 5
MS3_02419	IPR000276	G protein-coupled receptor, rhodopsin-like
MS3_02420	IPR000504	RNA recognition motif domain
MS3_02421	IPR011701	Major facilitator superfamily
MS3_02422	IPR000922	D-galactoside/L-rhamnose binding SUEL lectin domain
MS3_02423	IPR001680	WD40 repeat
MS3_02423	IPR013535	PUL domain
MS3_02423	IPR015155	PLAA family ubiquitin binding, PFU
MS3_02424	IPR003392	Protein patched/dispatched
MS3_02425	IPR020810	Enolase, C-terminal TIM barrel domain
MS3_02425	IPR020811	Enolase, N-terminal
MS3_02426	IPR002049	Laminin EGF domain
MS3_02427	IPR001012	UBX domain
MS3_02428	IPR003197	Cytochrome b-c1 complex subunit 7
MS3_02430	IPR008831	Mediator complex, subunit Med31
MS3_02434	IPR021897	Cilia- and flagella-associated protein 206
MS3_02435	IPR006461	PLAC8 motif-containing protein
MS3_02439	IPR014847	FERM adjacent (FA)
MS3_02439	IPR018980	FERM, C-terminal PH-like domain
MS3_02440	IPR002129	Pyridoxal phosphate-dependent decarboxylase
MS3_02441	IPR003151	PIK-related kinase, FAT
MS3_02442	IPR000504	RNA recognition motif domain
MS3_02442	IPR002004	Polyadenylate-binding protein/Hyperplastic disc protein
MS3_02443	IPR013766	Thioredoxin domain
MS3_02444	IPR001623	DnaJ domain
MS3_02445	IPR027329	TPX2, C-terminal
MS3_02447	IPR002049	Laminin EGF domain
MS3_02448	IPR002528	Multi antimicrobial extrusion protein
MS3_02448	IPR003210	Signal recognition particle, SRP14 subunit
MS3_02449	IPR002528	Multi antimicrobial extrusion protein
MS3_02451	IPR002049	Laminin EGF domain
MS3_02451	IPR018933	Netrin module, non-TIMP type
MS3_02452	IPR032071	Domain of unknown function DUF4806
MS3_02453	IPR001715	Calponin homology domain
MS3_02453	IPR004953	EB1, C-terminal
MS3_02455	IPR000980	SH2 domain
MS3_02455	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
MS3_02455	IPR001452	SH3 domain
MS3_02457	IPR002049	Laminin EGF domain
MS3_02457	IPR008211	Laminin, N-terminal
MS3_02458	IPR004827	Basic-leucine zipper domain
MS3_02459	IPR000330	SNF2-related, N-terminal domain
MS3_02459	IPR001650	Helicase, C-terminal
MS3_02460	IPR001683	Phox homologous domain
MS3_02462	IPR011701	Major facilitator superfamily
MS3_02463	IPR008422	Homeobox KN domain
MS3_02464	IPR000595	Cyclic nucleotide-binding domain
MS3_02464	IPR000719	Protein kinase domain
MS3_02465	IPR004000	Actin family
MS3_02468	IPR002350	Kazal domain
MS3_02471	IPR001752	Kinesin motor domain
MS3_02472	IPR006722	Trafficking protein particle complex subunit 2
MS3_02475	IPR006953	Vesicle tethering protein Uso1/P115-like , head domain
MS3_02479	IPR005331	Sulfotransferase
MS3_02487	IPR000717	Proteasome component (PCI) domain
MS3_02488	IPR000595	Cyclic nucleotide-binding domain
MS3_02488	IPR000719	Protein kinase domain
MS3_02496	IPR002935	O-methyltransferase, family 3
MS3_02497	IPR000719	Protein kinase domain
MS3_02499	IPR023796	Serpin domain
MS3_02501	IPR002935	O-methyltransferase, family 3
MS3_02502	IPR001164	Arf GTPase activating protein
MS3_02502	IPR001806	Small GTPase superfamily
MS3_02504	IPR008388	ATPase, V1 complex, subunit S1
MS3_02506	IPR001373	Cullin, N-terminal
MS3_02506	IPR019559	Cullin protein, neddylation domain
MS3_02507	IPR001680	WD40 repeat
MS3_02507	IPR011494	TUP1-like enhancer of split
MS3_02507	IPR019015	HIRA B motif
MS3_02508	IPR001577	Peptidase M8, leishmanolysin
MS3_02509	IPR001577	Peptidase M8, leishmanolysin
MS3_02514	IPR009348	Nitrogen permease regulator 2
MS3_02516	IPR000276	G protein-coupled receptor, rhodopsin-like
MS3_02517	IPR000322	Glycoside hydrolase family 31
MS3_02517	IPR025887	Glycoside hydrolase family 31, N-terminal domain
MS3_02518	IPR001680	WD40 repeat
MS3_02519	IPR001356	Homeobox domain
MS3_02523	IPR000210	BTB/POZ domain
MS3_02523	IPR000306	FYVE zinc finger
MS3_02523	IPR020683	Ankyrin repeat-containing domain
MS3_02524	IPR001208	MCM domain
MS3_02524	IPR033762	MCM OB domain
MS3_02526	IPR001163	LSM domain, eukaryotic/archaea-type
MS3_02528	IPR029249	Rotatin, N-terminal
MS3_02529	IPR019495	Exosome complex component CSL4
MS3_02531	IPR003961	Fibronectin type III
MS3_02531	IPR013098	Immunoglobulin I-set
MS3_02532	IPR000242	PTP type protein phosphatase
MS3_02537	IPR006964	NUDE domain
MS3_02538	IPR004839	Aminotransferase, class I/classII
MS3_02539	IPR008795	Prominin
MS3_02540	IPR003961	Fibronectin type III
MS3_02543	IPR006689	Small GTPase superfamily, ARF/SAR type
MS3_02544	IPR000340	Dual specificity phosphatase, catalytic domain
MS3_02544	IPR007704	Mannosyltransferase, DXD
MS3_02544	IPR019374	Ribosomal protein S22, mitochondrial
MS3_02545	IPR005828	Major facilitator,  sugar transporter-like
MS3_02547	IPR000980	SH2 domain
MS3_02547	IPR006020	PTB/PI domain
MS3_02548	IPR003029	S1 domain
MS3_02548	IPR005576	RNA polymerase Rpb7, N-terminal
MS3_02549	IPR000340	Dual specificity phosphatase, catalytic domain
MS3_02549	IPR019374	Ribosomal protein S22, mitochondrial
MS3_02551	IPR021149	Oligosaccharyl transferase complex, subunit OST3/OST6
MS3_02552	IPR005828	Major facilitator,  sugar transporter-like
MS3_02553	IPR007856	Saposin-like type B, region 1
MS3_02556	IPR007856	Saposin-like type B, region 1
MS3_02562	IPR015418	Chromatin modification-related protein Eaf6
MS3_02566	IPR000569	HECT domain
MS3_02566	IPR004170	WWE domain
MS3_02566	IPR010309	E3 ubiquitin ligase, domain of unknown function DUF908
MS3_02566	IPR010314	E3 ubiquitin ligase, domain of unknown function DUF913
MS3_02566	IPR015940	Ubiquitin-associated domain
MS3_02566	IPR025527	Domain of unknown function DUF4414
MS3_02567	IPR001873	Epithelial sodium channel
MS3_02568	IPR000276	G protein-coupled receptor, rhodopsin-like
MS3_02571	IPR000306	FYVE zinc finger
MS3_02572	IPR009025	DNA-directed RNA polymerase, RBP11-like dimerisation domain
MS3_02573	IPR001873	Epithelial sodium channel
MS3_02574	IPR002293	Amino acid/polyamine transporter I
MS3_02575	IPR000276	G protein-coupled receptor, rhodopsin-like
MS3_02576	IPR000276	G protein-coupled receptor, rhodopsin-like
MS3_02577	IPR005036	CBM21 (carbohydrate binding type-21) domain
MS3_02578	IPR005821	Ion transport domain
MS3_02578	IPR013555	Transient receptor ion channel domain
MS3_02580	IPR011124	Zinc finger, CW-type
MS3_02581	IPR003439	ABC transporter-like
MS3_02581	IPR011527	ABC transporter type 1, transmembrane domain
MS3_02585	IPR000699	RIH (RyR and IP3R Homology) domain
MS3_02585	IPR014821	Inositol 1,4,5-trisphosphate/ryanodine receptor
MS3_02585	IPR016093	MIR motif
MS3_02588	IPR024161	Zinc finger, nanos-type
MS3_02589	IPR013662	RyR/IP3R Homology associated domain
MS3_02590	IPR000642	Peptidase M41
MS3_02590	IPR003959	ATPase, AAA-type, core
MS3_02591	IPR001130	TatD family
MS3_02591	IPR018796	Uncharacterised protein family UPF0671
MS3_02593	IPR008380	HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase
MS3_02595	IPR011701	Major facilitator superfamily
MS3_02597	IPR001680	WD40 repeat
MS3_02599	IPR002126	Cadherin
MS3_02600	IPR011701	Major facilitator superfamily
MS3_02603	IPR001650	Helicase, C-terminal
MS3_02603	IPR011545	DEAD/DEAH box helicase domain
MS3_02607	IPR012858	Dendritic cell-specific transmembrane protein-like
MS3_02608	IPR032453	Homeobox protein PKNOX/Meis, N-terminal
MS3_02610	IPR019012	RNA cap guanine-N2 methyltransferase
MS3_02611	IPR007369	Peptidase A22B, signal peptide peptidase
MS3_02612	IPR001356	Homeobox domain
MS3_02613	IPR022775	AP complex, mu/sigma subunit
MS3_02614	IPR001564	Nucleoside diphosphate kinase
MS3_02614	IPR013766	Thioredoxin domain
MS3_02616	IPR008422	Homeobox KN domain
MS3_02619	IPR012858	Dendritic cell-specific transmembrane protein-like
MS3_02622	IPR002791	Domain of unknown function DUF89
MS3_02622	IPR004567	Type II pantothenate kinase
MS3_02623	IPR010793	Ribosomal protein L37/S30
MS3_02624	IPR001881	EGF-like calcium-binding domain
MS3_02626	IPR000261	EH domain
MS3_02626	IPR001452	SH3 domain
MS3_02627	IPR000008	C2 domain
MS3_02628	IPR000219	Dbl homology (DH) domain
MS3_02628	IPR000261	EH domain
MS3_02628	IPR001452	SH3 domain
MS3_02628	IPR001849	Pleckstrin homology domain
MS3_02628	IPR012493	Renin receptor-like
MS3_02633	IPR025993	Ceramide glucosyltransferase
MS3_02635	IPR000421	Coagulation factor 5/8 C-terminal domain
MS3_02636	IPR009543	Vacuolar protein sorting-associated protein 13, SHR-binding domain
MS3_02636	IPR015412	Autophagy-related, C-terminal
MS3_02636	IPR026854	Vacuolar protein sorting-associated protein 13, N-terminal domain
MS3_02636	IPR031642	VPS13, repeated coiled region
MS3_02636	IPR031645	Vacuolar protein sorting-associated protein 13, C-terminal
MS3_02636	IPR031646	Vacuolar protein sorting-associated protein 13, second N-terminal domain
MS3_02638	IPR001372	Dynein light chain, type 1/2
MS3_02639	IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
MS3_02641	IPR000554	Ribosomal protein S7e
MS3_02649	IPR001452	SH3 domain
MS3_02650	IPR007949	SDA1 domain
MS3_02652	IPR000626	Ubiquitin domain
MS3_02653	IPR005756	Ribosomal protein L26/L24, eukaryotic/archaeal
MS3_02654	IPR000504	RNA recognition motif domain
MS3_02654	IPR001878	Zinc finger, CCHC-type
MS3_02655	IPR001357	BRCT domain
MS3_02655	IPR007150	Checkpoint protein Hus1/Mec3
MS3_02660	IPR001680	WD40 repeat
MS3_02660	IPR024977	Anaphase-promoting complex subunit 4, WD40 domain
MS3_02661	IPR000814	TATA-box binding protein
MS3_02663	IPR001791	Laminin G domain
MS3_02664	IPR000306	FYVE zinc finger
MS3_02666	IPR000651	Ras-like guanine nucleotide exchange factor, N-terminal
MS3_02666	IPR001895	Ras guanine-nucleotide exchange factors catalytic domain
MS3_02667	IPR006029	Neurotransmitter-gated ion-channel transmembrane domain
MS3_02667	IPR006202	Neurotransmitter-gated ion-channel ligand-binding domain
MS3_02669	IPR000832	GPCR, family 2, secretin-like
MS3_02672	IPR023082	Homeo-prospero domain
MS3_02673	IPR000210	BTB/POZ domain
MS3_02673	IPR006652	Kelch repeat type 1
MS3_02673	IPR011705	BTB/Kelch-associated
MS3_02674	IPR002000	Lysosome-associated membrane glycoprotein
MS3_02675	IPR001567	Peptidase M3A/M3B catalytic domain
MS3_02676	IPR000270	PB1 domain
MS3_02676	IPR000719	Protein kinase domain
MS3_02676	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain
MS3_02676	IPR017892	Protein kinase, C-terminal
MS3_02677	IPR023082	Homeo-prospero domain
MS3_02679	IPR002300	Aminoacyl-tRNA synthetase, class Ia
MS3_02679	IPR013155	Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding
MS3_02680	IPR005201	Glycoside hydrolase, family 85
MS3_02681	IPR006696	Protein of unknown function DUF423
MS3_02683	IPR001017	Dehydrogenase, E1 component
MS3_02683	IPR009395	Biogenesis of lysosome-related organelles complex 1 subunit 1
MS3_02685	IPR001107	Band 7 domain
MS3_02686	IPR006800	Pellino family
MS3_02687	IPR000008	C2 domain
MS3_02688	IPR013126	Heat shock protein 70 family
MS3_02689	IPR000719	Protein kinase domain
MS3_02690	IPR000008	C2 domain
MS3_02691	IPR004273	Dynein heavy chain domain
MS3_02691	IPR024317	Dynein heavy chain, P-loop containing D4 domain
MS3_02691	IPR024743	Dynein heavy chain, coiled coil stalk
MS3_02693	IPR001452	SH3 domain
MS3_02693	IPR001683	Phox homologous domain
MS3_02693	IPR019497	Sorting nexin protein, WASP-binding domain
MS3_02695	IPR000008	C2 domain
MS3_02700	IPR032054	DNA replication factor Cdt1, C-terminal
MS3_02704	IPR019329	NADH:ubiquinone oxidoreductase, ESSS subunit
MS3_02707	IPR002645	STAS domain
MS3_02707	IPR011547	SLC26A/SulP transporter domain
MS3_02711	IPR003959	ATPase, AAA-type, core
MS3_02712	IPR000225	Armadillo
MS3_02713	IPR000195	Rab-GTPase-TBC domain
MS3_02714	IPR000432	DNA mismatch repair protein MutS, C-terminal
MS3_02714	IPR007695	DNA mismatch repair protein MutS-like, N-terminal
MS3_02714	IPR007696	DNA mismatch repair protein MutS, core
MS3_02714	IPR007861	DNA mismatch repair protein MutS, clamp
MS3_02715	IPR031981	Mitochondria-eating protein, C-terminal domain
MS3_02717	IPR000323	Copper type II, ascorbate-dependent monooxygenase, N-terminal
MS3_02717	IPR024548	Copper type II ascorbate-dependent monooxygenase, C-terminal
MS3_02718	IPR000608	Ubiquitin-conjugating enzyme E2
MS3_02721	IPR001173	Glycosyltransferase 2-like
MS3_02723	IPR001320	Ionotropic glutamate receptor
MS3_02723	IPR019594	Ionotropic glutamate receptor, L-glutamate and glycine-binding domain
MS3_02724	IPR000990	Innexin
MS3_02728	IPR003008	Tubulin/FtsZ, GTPase domain
MS3_02728	IPR018316	Tubulin/FtsZ, 2-layer sandwich domain
MS3_02731	IPR003782	Copper chaperone SCO1/SenC
MS3_02732	IPR000904	Sec7 domain
MS3_02732	IPR033742	IQ motif and SEC7 domain-containing protein, PH domain
MS3_02733	IPR003008	Tubulin/FtsZ, GTPase domain
MS3_02734	IPR002589	Macro domain
MS3_02735	IPR000990	Innexin
MS3_02736	IPR000990	Innexin
MS3_02737	IPR000555	JAB1/MPN/MOV34 metalloenzyme domain
MS3_02737	IPR012591	PRO8NT domain
MS3_02737	IPR012592	PROCN domain
MS3_02737	IPR012984	PROCT domain
MS3_02737	IPR019580	Pre-mRNA-processing-splicing factor 8, U6-snRNA-binding
MS3_02737	IPR019581	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
MS3_02737	IPR019582	RNA recognition motif, spliceosomal PrP8
MS3_02737	IPR021983	PRP8 domain IV core
MS3_02738	IPR001611	Leucine-rich repeat
MS3_02739	IPR001478	PDZ domain
MS3_02739	IPR008145	Guanylate kinase/L-type calcium channel beta subunit
MS3_02740	IPR005821	Ion transport domain
MS3_02741	IPR005821	Ion transport domain
MS3_02743	IPR005821	Ion transport domain
MS3_02744	IPR005821	Ion transport domain
MS3_02750	IPR001680	WD40 repeat
MS3_02751	IPR010285	DNA helicase Pif1-like
MS3_02752	IPR004099	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
MS3_02752	IPR023753	FAD/NAD(P)-binding domain
MS3_02755	IPR001680	WD40 repeat
MS3_02756	IPR001806	Small GTPase superfamily
MS3_02757	IPR003439	ABC transporter-like
MS3_02757	IPR011527	ABC transporter type 1, transmembrane domain
MS3_02758	IPR005828	Major facilitator,  sugar transporter-like
MS3_02759	IPR000719	Protein kinase domain
MS3_02760	IPR009582	Signal peptidase complex subunit 2
MS3_02761	IPR011680	Fasciculation and elongation protein zeta, FEZ
MS3_02763	IPR009038	GOLD domain
MS3_02766	IPR018164	Alanyl-tRNA synthetase, class IIc, N-terminal
MS3_02768	IPR020683	Ankyrin repeat-containing domain
MS3_02769	IPR018979	FERM, N-terminal
MS3_02769	IPR019748	FERM central domain
MS3_02770	IPR000742	EGF-like domain
MS3_02773	IPR004274	FCP1 homology domain
MS3_02774	IPR000504	RNA recognition motif domain
MS3_02779	IPR013105	Tetratricopeptide repeat 2
MS3_02779	IPR021183	N-terminal acetyltransferase A, auxiliary subunit
MS3_02780	IPR001806	Small GTPase superfamily
MS3_02781	IPR001356	Homeobox domain
MS3_02782	IPR004853	Sugar phosphate transporter domain
MS3_02784	IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
MS3_02788	IPR000719	Protein kinase domain
MS3_02789	IPR001163	LSM domain, eukaryotic/archaea-type
MS3_02791	IPR000719	Protein kinase domain
MS3_02791	IPR001772	Kinase associated domain 1 (KA1)
MS3_02796	IPR027370	RING-type zinc-finger, LisH dimerisation motif
MS3_02798	IPR003961	Fibronectin type III
MS3_02798	IPR013098	Immunoglobulin I-set
MS3_02799	IPR007735	Pecanex
MS3_02802	IPR001206	Diacylglycerol kinase, catalytic domain
MS3_02804	IPR006846	Ribosomal protein S30
MS3_02805	IPR008138	Saposin B type, region 2
MS3_02807	IPR000426	Proteasome alpha-subunit, N-terminal domain
MS3_02807	IPR001353	Proteasome, subunit alpha/beta
MS3_02808	IPR000649	Initiation factor 2B-related
MS3_02813	IPR032630	P-type ATPase, C-terminal
MS3_02815	IPR001650	Helicase, C-terminal
MS3_02815	IPR004179	Sec63 domain
MS3_02815	IPR011545	DEAD/DEAH box helicase domain
MS3_02816	IPR005301	MOB kinase activator family
MS3_02816	IPR006075	Aspartyl/Glutamyl-tRNA(Gln) amidotransferase, subunit B/E, catalytic
MS3_02817	IPR000313	PWWP domain
MS3_02818	IPR007676	Ribophorin I
MS3_02821	IPR000340	Dual specificity phosphatase, catalytic domain
MS3_02829	IPR002100	Transcription factor, MADS-box
MS3_02830	IPR002126	Cadherin
MS3_02832	IPR000008	C2 domain
MS3_02832	IPR022136	Domain of unknown function DUF3668
MS3_02835	IPR013992	Adenylate cyclase-associated CAP, N-terminal
MS3_02836	IPR002126	Cadherin
MS3_02836	IPR013164	Cadherin, N-terminal
MS3_02838	IPR000058	Zinc finger, AN1-type
MS3_02838	IPR002653	Zinc finger, A20-type
MS3_02841	IPR007719	Phytochelatin synthase
MS3_02843	IPR032630	P-type ATPase, C-terminal
MS3_02843	IPR032631	P-type ATPase, N-terminal
MS3_02844	IPR000095	CRIB domain
MS3_02844	IPR000719	Protein kinase domain
MS3_02846	IPR024371	Acetyl-coenzyme A transporter 1
MS3_02848	IPR024371	Acetyl-coenzyme A transporter 1
MS3_02850	IPR024371	Acetyl-coenzyme A transporter 1
MS3_02851	IPR000980	SH2 domain
MS3_02851	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
MS3_02854	IPR012501	Vps54-likeVacuolar protein sorting-associated protein 54, C-terminal
MS3_02854	IPR019515	Vacuolar protein sorting-associated protein 54, N-terminal
MS3_02855	IPR011893	Selenoprotein, Rdx type
MS3_02856	IPR000741	Fructose-bisphosphate aldolase, class-I
MS3_02857	IPR004127	Prefoldin alpha-like
MS3_02858	IPR005016	Serine incorporator/TMS membrane protein
MS3_02861	IPR011677	Domain of unknown function DUF1619
MS3_02863	IPR003812	Fido domain
MS3_02863	IPR029157	Centrosomal CEP44 domain
MS3_02865	IPR005016	Serine incorporator/TMS membrane protein
MS3_02866	IPR024989	Major facilitator superfamily associated domain
MS3_02870	IPR032705	Origin recognition complex subunit 4, C-terminal
MS3_02873	IPR027370	RING-type zinc-finger, LisH dimerisation motif
MS3_02875	IPR003959	ATPase, AAA-type, core
MS3_02876	IPR001991	Sodium:dicarboxylate symporter
MS3_02877	IPR002110	Ankyrin repeat
MS3_02877	IPR003959	ATPase, AAA-type, core
MS3_02877	IPR019489	Clp ATPase, C-terminal
MS3_02878	IPR000884	Thrombospondin type-1 (TSP1) repeat
MS3_02879	IPR000555	JAB1/MPN/MOV34 metalloenzyme domain
MS3_02879	IPR015063	USP8 dimerisation domain
MS3_02880	IPR001762	Disintegrin domain
MS3_02880	IPR002870	Peptidase M12B, propeptide
MS3_02882	IPR015350	Beta-trefoil DNA-binding domain
MS3_02882	IPR015351	LAG1, DNA binding
MS3_02884	IPR018108	Mitochondrial substrate/solute carrier
MS3_02887	IPR001818	Peptidase M10, metallopeptidase
MS3_02887	IPR002477	Peptidoglycan binding-like
MS3_02887	IPR018108	Mitochondrial substrate/solute carrier
MS3_02887	IPR018487	Hemopexin-like repeats
MS3_02888	IPR002646	Poly A polymerase, head domain
MS3_02888	IPR032828	tRNA nucleotidyltransferase/poly(A) polymerase, RNA and SrmB- binding domain
MS3_02889	IPR005018	DOMON domain
MS3_02889	IPR006593	Cytochrome b561/ferric reductase transmembrane
MS3_02890	IPR001320	Ionotropic glutamate receptor
MS3_02890	IPR019594	Ionotropic glutamate receptor, L-glutamate and glycine-binding domain
MS3_02891	IPR002792	TRAM domain
MS3_02891	IPR007197	Radical SAM
MS3_02891	IPR013848	Methylthiotransferase, N-terminal
MS3_02892	IPR006603	PQ-loop repeat
MS3_02893	IPR003780	COX15/CtaA family
MS3_02894	IPR003780	COX15/CtaA family
MS3_02895	IPR000529	Ribosomal protein S6
MS3_02898	IPR001478	PDZ domain
MS3_02898	IPR008145	Guanylate kinase/L-type calcium channel beta subunit
MS3_02898	IPR011511	Variant SH3 domain
MS3_02898	IPR014775	L27 domain, C-terminal
MS3_02901	IPR027791	Galactosyltransferase, C-terminal
MS3_02901	IPR027995	Galactosyltransferase, N-terminal
MS3_02902	IPR008847	Suppressor of forked
MS3_02903	IPR005037	Pre-mRNA-splicing factor 38
MS3_02905	IPR006730	Sestrin
MS3_02907	IPR002048	EF-hand domain
MS3_02908	IPR000719	Protein kinase domain
MS3_02911	IPR013243	SCA7 domain
MS3_02912	IPR001387	Cro/C1-type helix-turn-helix domain
MS3_02912	IPR013729	Multiprotein bridging factor 1, N-terminal
MS3_02914	IPR013729	Multiprotein bridging factor 1, N-terminal
MS3_02915	IPR001650	Helicase, C-terminal
MS3_02915	IPR011545	DEAD/DEAH box helicase domain
MS3_02917	IPR001433	Oxidoreductase FAD/NAD(P)-binding
MS3_02917	IPR003097	FAD-binding, type 1
MS3_02918	IPR027450	Alpha-ketoglutarate-dependent dioxygenase AlkB-like
MS3_02920	IPR001180	Citron homology (CNH) domain
MS3_02920	IPR019452	Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 1
MS3_02920	IPR019453	Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 2
MS3_02921	IPR000276	G protein-coupled receptor, rhodopsin-like
MS3_02922	IPR007120	DNA-directed RNA polymerase, subunit 2, domain 6
MS3_02922	IPR007641	RNA polymerase Rpb2, domain 7
MS3_02922	IPR007644	RNA polymerase, beta subunit, protrusion
MS3_02922	IPR007645	RNA polymerase Rpb2, domain 3
MS3_02922	IPR009674	DNA-directed RNA polymerase I subunit RPA2, domain 4
MS3_02924	IPR000980	SH2 domain
MS3_02924	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
MS3_02926	IPR013684	Mitochondrial Rho-like
MS3_02932	IPR001496	SOCS box domain
MS3_02932	IPR002110	Ankyrin repeat
MS3_02932	IPR020683	Ankyrin repeat-containing domain
MS3_02936	IPR001424	Superoxide dismutase, copper/zinc binding domain
MS3_02938	IPR000595	Cyclic nucleotide-binding domain
MS3_02938	IPR005821	Ion transport domain
MS3_02939	IPR001356	Homeobox domain
MS3_02943	IPR013621	Ion transport N-terminal
MS3_02944	IPR001424	Superoxide dismutase, copper/zinc binding domain
MS3_02946	IPR008251	Chromo shadow domain
MS3_02946	IPR023780	Chromo domain
MS3_02947	IPR024766	Zinc finger, RING-H2-type
MS3_02949	IPR000719	Protein kinase domain
MS3_02950	IPR006680	Amidohydrolase-related
MS3_02951	IPR000043	Adenosylhomocysteinase-like
MS3_02951	IPR015878	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
MS3_02952	IPR001623	DnaJ domain
MS3_02954	IPR016040	NAD(P)-binding domain
MS3_02955	IPR001606	ARID DNA-binding domain
MS3_02956	IPR003108	Gas2-related domain
MS3_02957	IPR008145	Guanylate kinase/L-type calcium channel beta subunit
MS3_02958	IPR001680	WD40 repeat
MS3_02958	IPR012953	BOP1, N-terminal domain
MS3_02960	IPR021712	Uncharacterised domain UPF0506
MS3_02961	IPR026755	Protein FAM221A/B
MS3_02962	IPR000237	GRIP domain
MS3_02968	IPR018863	Fragile site-associated protein, C-terminal
MS3_02969	IPR000595	Cyclic nucleotide-binding domain
MS3_02969	IPR002641	Patatin-like phospholipase domain
MS3_02971	IPR000719	Protein kinase domain
MS3_02972	IPR001209	Ribosomal protein S14
MS3_02973	IPR001680	WD40 repeat
MS3_02973	IPR011701	Major facilitator superfamily
MS3_02977	IPR032739	MRN complex-interacting protein
MS3_02978	IPR000719	Protein kinase domain
MS3_02978	IPR013098	Immunoglobulin I-set
MS3_02979	IPR000832	GPCR, family 2, secretin-like
MS3_02979	IPR001879	GPCR, family 2, extracellular hormone receptor domain
MS3_02980	IPR003891	Initiation factor eIF-4 gamma, MA3
MS3_02983	IPR000276	G protein-coupled receptor, rhodopsin-like
MS3_02984	IPR002524	Cation efflux protein
MS3_02987	IPR001878	Zinc finger, CCHC-type
