ipro_id	ipro_descr
IPR028005	N-acetyltransferase ESCO, zinc-finger
IPR028009	N-acetyltransferase ESCO, acetyl-transferase domain
IPR017852	GPI ethanolamine phosphate transferase 1, C-terminal
IPR002773	Deoxyhypusine synthase
IPR032071	Domain of unknown function DUF4806
IPR000261	EH domain
IPR031692	EH domain-containing protein, N-terminal
IPR022816	Condensin complex subunit 2/barren
IPR006591	RNA polymerase archaeal subunit P/eukaryotic subunit RPABC4
IPR002591	Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase
IPR007523	NDUFAF3/Mth938 domain-containing protein
IPR001098	DNA-directed DNA polymerase, family A, palm domain
IPR011259	Ezrin/radixin/moesin, C-terminal
IPR018980	FERM, C-terminal PH-like domain
IPR019748	FERM central domain
IPR024964	CTLH/CRA C-terminal to LisH motif domain
IPR024977	Anaphase-promoting complex subunit 4, WD40 domain
IPR001275	DM DNA-binding domain
IPR018961	DnaJ homologue, subfamily C, member 28, conserved domain
IPR006175	YjgF/YER057c/UK114 family
IPR024810	Mab-21 domain
IPR019160	Exocyst complex component Sec3, C-terminal
IPR007846	RNA-recognition motif (RRM) Nup35-type domain
IPR031826	Cancer susceptibility candidate 1, N-terminal
IPR000644	CBS domain
IPR029119	MutY, C-terminal
IPR000533	Tropomyosin
IPR006214	Bax inhibitor 1-related
IPR026146	28S ribosomal protein S24, mitochondrial
IPR010472	Formin, FH3 domain
IPR010473	Formin, GTPase-binding domain
IPR018862	Eukaryotic translation initiation factor 4E binding protein
IPR018497	Peptidase M13, C-terminal domain
IPR004241	Autophagy protein Atg8 ubiquitin-like
IPR007590	CWC16 protein
IPR003613	U box domain
IPR019474	Ubiquitin conjugation factor E4, core
IPR016435	Diphthamide synthesis DPH1/DPH2
IPR005683	Mitochondrial import receptor subunit Tom22
IPR007497	Protein of unknown function DUF541
IPR000058	Zinc finger, AN1-type
IPR019585	26S proteasome regulatory subunit Rpn7/COP9 signalosome complex subunit 1
IPR001660	Sterile alpha motif domain
IPR002314	Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)
IPR004154	Anticodon-binding
IPR016061	Proline-tRNA ligase, class II, C-terminal
IPR020058	Glutamyl/glutaminyl-tRNA synthetase, class Ib, catalytic domain
IPR020059	Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain
IPR009290	Radial spoke 3
IPR007042	Arsenite-resistance protein 2
IPR021933	Protein of unknown function DUF3546
IPR010513	KEN domain
IPR024958	GRASP55/65 PDZ-like domain
IPR002075	Nuclear transport factor 2
IPR019514	Protein of unknown function DUF2451, C-terminal
IPR019515	Vacuolar protein sorting-associated protein 54, N-terminal
IPR007194	Transport protein particle (TRAPP) component
IPR008584	Protein of unknown function DUF866, eukaryotic
IPR031309	Ribosomal protein L5, C-terminal
IPR031310	Ribosomal protein L5, N-terminal
IPR016900	Alpha-2-glucosyltransferase Alg10
IPR001304	C-type lectin-like
IPR000573	Aconitase A/isopropylmalate dehydratase small subunit, swivel domain
IPR001030	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain
IPR013497	DNA topoisomerase, type IA, central
IPR013498	DNA topoisomerase, type IA, zn finger
IPR007529	Zinc finger, HIT-type
IPR005178	Organic solute transporter subunit alpha/Transmembrane protein 184
IPR006083	Phosphoribulokinase/uridine kinase
IPR032777	Domain of unknown function DUF4515
IPR013632	DNA recombination and repair protein Rad51-like, C-terminal
IPR001523	Paired domain
IPR019141	Protein of unknown function DUF2045
IPR015187	BRCA2, oligonucleotide/oligosaccharide-binding 1
IPR015252	Breast cancer type 2 susceptibility protein, helical domain
IPR001590	Peptidase M12B, ADAM/reprolysin
IPR001762	Disintegrin domain
IPR006586	ADAM, cysteine-rich
IPR018978	Ribosome maturation protein SBDS, C-terminal
IPR004360	Glyoxalase/fosfomycin resistance/dioxygenase domain
IPR001353	Proteasome, subunit alpha/beta
IPR000569	HECT domain
IPR008603	Dynactin subunit 4
IPR023379	ADP-ribosylation factor-like 2-binding protein, domain
IPR005304	Ribosomal biogenesis, methyltransferase, EMG1/NEP1
IPR022628	S-adenosylmethionine synthetase, N-terminal
IPR022629	S-adenosylmethionine synthetase, central domain
IPR022630	S-adenosylmethionine synthetase, C-terminal
IPR013025	Ribosomal protein L25/L23
IPR031436	Transmembrane protein TMEM132, C-terminal
IPR000782	FAS1 domain
IPR007034	Ribosome biogenesis protein BMS1/TSR1, C-terminal
IPR012948	AARP2CN
IPR025754	TRC8 N-terminal domain
IPR007315	GPI mannosyltransferase 2
IPR007872	Zinc finger, DPH-type
IPR001296	Glycosyl transferase, family 1
IPR028098	Glycosyltransferase subfamily 4-like, N-terminal domain
IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain
IPR003116	Raf-like Ras-binding
IPR031437	Transmembrane protein family 132, middle domain
IPR020309	Uncharacterised protein family, CD034/YQF4
IPR000909	Phosphatidylinositol-specific phospholipase C, X domain
IPR001711	Phospholipase C, phosphatidylinositol-specific, Y domain
IPR015359	Phosphoinositide-specific phospholipase C, EF-hand-like domain
IPR010541	Domain of unknown function DUF1115
IPR003169	GYF domain
IPR001382	Glycoside hydrolase family 47
IPR011022	Arrestin C-terminal-like domain
IPR020616	Thiolase, N-terminal
IPR020617	Thiolase, C-terminal
IPR019383	Golgin subfamily A member 7/ERF4
IPR002100	Transcription factor, MADS-box
IPR022023	U1 small nuclear ribonucleoprotein of 70kDa N-terminal
IPR001971	Ribosomal protein S11
IPR007135	Autophagy-related protein 3
IPR026854	Vacuolar protein sorting-associated protein 13, N-terminal domain
IPR004181	Zinc finger, MIZ-type
IPR008387	ATP synthase-coupling factor 6, mitochondrial
IPR014847	FERM adjacent (FA)
IPR002483	PWI domain
IPR022709	Protein SCAI
IPR000242	PTP type protein phosphatase
IPR018979	FERM, N-terminal
IPR003121	SWIB/MDM2 domain
IPR005570	RNA polymerase, Rpb8
IPR000182	GNAT domain
IPR006050	DNA photolyase, N-terminal
IPR007125	Histone H2A/H2B/H3
IPR032454	Histone H2A, C-terminal domain
IPR001442	Collagen IV, non-collagenous
IPR000679	Zinc finger, GATA-type
IPR031885	Domain of unknown function DUF4764
IPR013929	RNA polymerase II-associated protein 1, C-terminal
IPR013930	RNA polymerase II-associated protein 1, N-terminal
IPR003767	Malate/L-lactate dehydrogenase-like
IPR001370	BIR repeat
IPR000073	Alpha/beta hydrolase fold-1
IPR007241	Autophagy-related protein 9
IPR004837	Sodium/calcium exchanger membrane region
IPR006357	HAD-superfamily hydrolase, subfamily IIA
IPR013857	NADH:ubiquinone oxidoreductase intermediate-associated protein 30
IPR001977	Dephospho-CoA kinase
IPR002000	Lysosome-associated membrane glycoprotein
IPR001208	MCM domain
IPR027925	MCM N-terminal domain
IPR033762	MCM OB domain
IPR032682	Condensin complex subunit 1, C-terminal
IPR012929	Nucleoprotein TPR/MLP1
IPR002109	Glutaredoxin
IPR001736	Phospholipase D/Transphosphatidylase
IPR032803	PLD-like domain
IPR001346	Interferon regulatory factor DNA-binding domain
IPR019471	Interferon regulatory factor-3
IPR007582	TFIID subunit TAF5, NTD2 domain
IPR011498	Kelch repeat type 2
IPR006073	GTP binding domain
IPR012971	Nucleolar GTP-binding protein 2, N-terminal domain
IPR019787	Zinc finger, PHD-finger
IPR004827	Basic-leucine zipper domain
IPR015157	Translation machinery associated TMA7
IPR007369	Peptidase A22B, signal peptide peptidase
IPR006461	PLAC8 motif-containing protein
IPR005336	Mitochondrial pyruvate carrier
IPR019372	Lipoma HMGIC fusion partner-like protein
IPR005002	Phosphomannomutase
IPR010439	Calcium-dependent secretion activator domain
IPR000086	NUDIX hydrolase domain
IPR031804	Domain of unknown function DUF4743
IPR007259	Gamma-tubulin complex component protein
IPR003930	Potassium channel, calcium-activated, BK, beta subunit
IPR002189	F-actin-capping protein subunit alpha
IPR010468	Hormone-sensitive lipase, N-terminal
IPR013094	Alpha/beta hydrolase fold-3
IPR000834	Peptidase M14, carboxypeptidase A
IPR000640	Translation elongation factor EFG, V domain
IPR000819	Peptidase M17, leucyl aminopeptidase, C-terminal
IPR001774	Delta/Serrate/lag-2 (DSL) protein
IPR000836	Phosphoribosyltransferase domain
IPR001754	Orotidine 5'-phosphate decarboxylase domain
IPR022157	Dynein associated protein
IPR004178	Calmodulin-binding domain
IPR013625	Tensin/EPS8 phosphotyrosine-binding domain
IPR002059	Cold-shock protein, DNA-binding
IPR001662	Translation elongation factor EF1B, gamma chain, conserved
IPR008570	ESCRT-II complex, vps25 subunit
IPR010734	Copine
IPR006786	Pinin/SDK/MemA protein
IPR006787	Pinin/SDK
IPR019179	Coiled-coil domain-containing protein 149-A
IPR029281	FAM194 family
IPR012945	Tubulin binding cofactor C-like domain
IPR031925	Tubulin-specific chaperone C, N-terminal
IPR006767	Cwf19-like protein, C-terminal domain-2
IPR032284	ATP-dependent DNA helicase RecQ, zinc-binding domain
IPR022056	CpG binding protein, C-terminal
IPR015260	Syntaxin 6, N-terminal
IPR007290	Arv1 protein
IPR002121	HRDC domain
IPR002562	3'-5' exonuclease domain
IPR012588	Exosome-associated factor Rrp6, N-terminal
IPR006615	Peptidase C19, ubiquitin-specific peptidase, DUSP domain
IPR001494	Importin-beta, N-terminal domain
IPR009448	UDP-glucose:Glycoprotein Glucosyltransferase
IPR014790	MutL, C-terminal, dimerisation
IPR031314	Deoxynucleoside kinase domain
IPR007632	Anoctamin
IPR032394	Anoctamin, dimerisation domain
IPR021712	Uncharacterised domain UPF0506
IPR004457	Zinc finger, ZPR1-type
IPR002857	Zinc finger, CXXC-type
IPR002928	Myosin tail
IPR007287	Sof1-like protein
IPR001734	Sodium/solute symporter
IPR004033	UbiE/COQ5 methyltransferase
IPR006941	Ribonuclease CAF1
IPR025750	Requiem/DPF N-terminal domain
IPR002816	Pheromone shutdown, TraB
IPR007651	Lipin, N-terminal
IPR013209	Lipin/Ned1/Smp2 (LNS2)
IPR000582	Acyl-CoA-binding protein, ACBP
IPR007220	Origin recognition complex, subunit 2
IPR013934	Small-subunit processome, Utp13
IPR012301	Malic enzyme, N-terminal domain
IPR012302	Malic enzyme, NAD-binding
IPR023302	Peptidase S9A, N-terminal domain
IPR002489	Glutamate synthase, alpha subunit, C-terminal
IPR002932	Glutamate synthase domain
IPR006982	Glutamate synthase, central-N
IPR017932	Glutamine amidotransferase type 2 domain
IPR023753	FAD/NAD(P)-binding domain
IPR028261	Dihydroprymidine dehydrogenase domain II
IPR002942	RNA-binding S4 domain
IPR005824	KOW
IPR013843	Ribosomal protein S4e, N-terminal
IPR013845	Ribosomal protein S4e, central region
IPR032277	40S ribosomal protein S4, C-terminal domain
IPR013543	Calcium/calmodulin-dependent protein kinase II, association-domain
IPR017874	CRIC domain
IPR010357	Protein of unknown function DUF953, thioredoxin-like
IPR018618	Vacuolar import/degradation protein Vid24
IPR002889	Carbohydrate-binding WSC
IPR003406	Glycosyl transferase, family 14
IPR024448	Xylosyltransferase
IPR013122	Polycystin cation channel, PKD1/PKD2
IPR019143	JNK/Rab-associated protein-1, N-terminal
IPR032486	JNK-interacting protein, leucine zipper II
IPR007955	Bystin
IPR028235	Dynein assembly factor 3, C-terminal domain
IPR001148	Alpha carbonic anhydrase
IPR019153	DDRGK domain containing protein
IPR022649	Proliferating cell nuclear antigen, PCNA, C-terminal
IPR005574	RNA polymerase II, Rpb4
IPR001084	Microtubule associated protein,  tubulin-binding repeat
IPR021656	RPGR-interacting protein 1, first C2 domain
IPR022052	Histone-binding protein RBBP4, N-terminal
IPR018472	Growth arrest/ DNA-damage-inducible protein-interacting protein 1
IPR018502	Annexin repeat
IPR001260	Coproporphyrinogen III oxidase, aerobic
IPR007130	Diacylglycerol acyltransferase
IPR011417	AP180 N-terminal homology (ANTH) domain
IPR013883	Transcription factor  Iwr1
IPR029169	PEST proteolytic signal-containing nuclear protein
IPR007262	Vacuolar protein sorting 55
IPR007648	Mitochondrial ATPase inhibitor
IPR004156	Organic anion transporter polypeptide OATP
IPR018800	Proline-rich protein PRCC
IPR027246	Eukaryotic porin/Tom40
IPR007327	Tumour protein D52
IPR003029	S1 domain
IPR009790	Protein of unknown function DUF1356, TMEM106
IPR012919	SUN domain
IPR008610	Eukaryotic rRNA processing
IPR000949	ELM2 domain
IPR001005	SANT/Myb domain
IPR023252	Aurora borealis protein
IPR001767	Hedgehog protein, Hint domain
IPR031488	WD repeat protein mio, zinc-ribbon like domain
IPR000320	Hedgehog, N-terminal signalling domain
IPR019312	CCR4-NOT transcription complex subunit 11
IPR007889	DNA binding HTH domain, Psq-type
IPR022096	SBF1/SBF2 domain
IPR015179	Alpha-amylase/4-alpha-glucanotransferase, C-terminal
IPR000432	DNA mismatch repair protein MutS, C-terminal
IPR007696	DNA mismatch repair protein MutS, core
IPR007860	DNA mismatch repair protein MutS, connector domain
IPR007861	DNA mismatch repair protein MutS, clamp
IPR016565	Proteasome assembly chaperone 1
IPR001748	G10 protein
IPR000868	Isochorismatase-like
IPR019320	BLOC-1-related complex subunit 8
IPR018450	Romo1/Mgr2
IPR022033	RAVE complex protein Rav1 C-terminal
IPR004345	TB2/DP1/HVA22-related protein
IPR027962	Protein of unknown function DUF4590
IPR015940	Ubiquitin-associated domain
IPR003380	Transforming protein Ski
IPR014890	c-SKI SMAD4-binding domain
IPR006802	Radial spokehead-like protein
IPR006091	Acyl-CoA oxidase/dehydrogenase, central domain
IPR009075	Acyl-CoA dehydrogenase/oxidase C-terminal
IPR013786	Acyl-CoA dehydrogenase/oxidase, N-terminal
IPR019373	Ribosomal protein L51, mitochondrial
IPR006155	Josephin domain
IPR024989	Major facilitator superfamily associated domain
IPR027973	Protein of unknown function DUF4602
IPR000800	Notch domain
IPR005176	Potentiating neddylation domain
IPR022083	KIF-1 binding protein
IPR002674	Ribosomal protein L37ae
IPR005637	TAP C-terminal (TAP-C) domain
IPR001025	Bromo adjacent homology (BAH) domain
IPR009056	Cytochrome c-like domain
IPR010300	Cysteine dioxygenase type I
IPR006099	Methylmalonyl-CoA mutase, alpha/beta chain, catalytic
IPR006158	Cobalamin (vitamin B12)-binding domain
IPR010560	Neogenin, C-terminal
IPR010733	Protein of unknown function DUF1308
IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
IPR001451	Hexapeptide repeat
IPR031632	Small VCP/p97-interacting protein
IPR002717	Histone acetyltransferase domain, MYST-type
IPR025995	RNA binding activity-knot of a chromodomain
IPR013598	Exportin-1/Importin-beta-like
IPR003887	LEM domain
IPR018996	Man1-Src1p-C-terminal domain
IPR008431	Cyclic nucleotide phosphodiesterase
IPR001012	UBX domain
IPR001810	F-box domain
IPR006568	PSP, proline-rich
IPR019354	Smg8/Smg9
IPR003726	Homocysteine-binding domain
IPR010908	Longin domain
IPR001506	Peptidase M12A
IPR003582	ShKT domain
IPR009401	Mediator complex, subunit Med13
IPR021643	Mediator complex, subunit Med13, N-terminal, metazoa/fungi
IPR015408	Zinc finger, Mcm10/DnaG-type
IPR015411	Replication factor Mcm10, C-terminal
IPR001236	Lactate/malate dehydrogenase, N-terminal
IPR004878	Otopetrin
IPR002515	Zinc finger, C2HC-type
IPR013655	PAS fold-3
IPR013767	PAS fold
IPR003652	Ataxin, AXH domain
IPR004618	Aspartate--ammonia ligase
IPR000601	PKD domain
IPR002937	Amine oxidase
IPR032368	UCH-binding domain
IPR003008	Tubulin/FtsZ, GTPase domain
IPR018316	Tubulin/FtsZ, 2-layer sandwich domain
IPR005240	Protein of unknown function DUF389
IPR021149	Oligosaccharyl transferase complex, subunit OST3/OST6
IPR001129	Membrane-associated, eicosanoid/glutathione metabolism (MAPEG) protein
IPR002713	FF domain
IPR006166	ERCC4 domain
IPR004856	Glycosyl transferase, ALG6/ALG8
IPR013517	FG-GAP repeat
IPR013649	Integrin alpha-2
IPR019180	Oxidoreductase-like, N-terminal
IPR002673	Ribosomal protein L29e
IPR007379	Tim44-like domain
IPR021151	GINS subunit, domain A
IPR005326	Plectin/S10, N-terminal
IPR007286	EAP30
IPR021648	Vacuolar protein sorting protein 36, GLUE domain
IPR023801	Histone deacetylase domain
IPR004342	EXS, C-terminal
IPR009792	Transmembrane protein 242
IPR003737	N-acetylglucosaminyl phosphatidylinositol deacetylase-related
IPR005026	SAPAP family
IPR028118	Chibby family
IPR028124	Small acidic protein-like domain
IPR004331	SPX domain
IPR002939	Chaperone DnaJ, C-terminal
IPR007018	Mediator complex, subunit Med6
IPR003929	Potassium channel, BK, alpha subunit
IPR010515	Collagenase NC10/endostatin
IPR015212	Regulator of G protein signalling-like domain
IPR001955	Pancreatic hormone-like
IPR001322	Lamin Tail Domain
IPR018612	Domain of unknown function DUF2040
IPR018617	Ima1, N-terminal domain
IPR006689	Small GTPase superfamily, ARF/SAR type
IPR001948	Peptidase M18
IPR002092	DNA-directed RNA polymerase, phage-type
IPR029262	DNA-directed RNA polymerase, N-terminal
IPR007547	Uncharacterised protein family UPF0248
IPR019510	Protein kinase A anchor protein, nuclear localisation signal domain
IPR019339	CBF1-interacting co-repressor CIR, N-terminal domain
IPR000592	Ribosomal protein S27e
IPR019558	Mammalian uncoordinated homology 13, subgroup, domain 2
IPR002300	Aminoacyl-tRNA synthetase, class Ia
IPR013155	Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding
IPR024084	Isopropylmalate dehydrogenase-like domain
IPR000101	Gamma-glutamyltranspeptidase
IPR019135	Polycomb protein, VEFS-Box
IPR001567	Peptidase M3A/M3B catalytic domain
IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain
IPR004100	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
IPR021563	Rab interacting lysosomal protein, dimerization domain
IPR031675	Serine-threonine protein phosphatase, N-terminal
IPR016137	RGS domain
IPR000891	Pyruvate carboxyltransferase
IPR003379	Carboxylase, conserved domain
IPR005479	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain
IPR005481	Biotin carboxylase-like, N-terminal domain
IPR005482	Biotin carboxylase, C-terminal
IPR018798	Multivesicular body subunit 12
IPR024518	Domain of unknown function DUF3421
IPR019002	Ribosome biogenesis protein Nop16
IPR012486	N1221-like
IPR021819	Protein of unknown function DUF3402
IPR006133	DNA-directed DNA polymerase, family B, exonuclease domain
IPR006134	DNA-directed DNA polymerase, family B, multifunctional domain
IPR025687	C4-type zinc-finger of DNA polymerase delta
IPR011262	DNA-directed RNA polymerase, insert domain
IPR011263	DNA-directed RNA polymerase, RpoA/D/Rpb3-type
IPR029358	Protein of unknown function DUF4586
IPR002554	Protein phosphatase 2A, regulatory B subunit, B56
IPR033464	CSN8/PSMD8/EIF3K
IPR027486	Ribosomal protein S10 domain
IPR006895	Zinc finger, Sec23/Sec24-type
IPR006896	Sec23/Sec24, trunk domain
IPR006900	Sec23/Sec24, helical domain
IPR007123	Gelsolin-like domain
IPR012990	Sec23/Sec24 beta-sandwich
IPR024771	SUZ domain
IPR027918	Hydrolethalus syndrome protein 1, C-terminal domain
IPR019024	Ribonuclease H2, subunit B
IPR031686	ATPsynthase alpha/beta subunit, N-terminal extension
IPR015868	Glutaminase
IPR006693	Partial AB-hydrolase lipase domain
IPR013057	Amino acid transporter, transmembrane domain
IPR002909	IPT domain
IPR024986	Sister chromatid cohesion C-terminal domain
IPR026003	HEAT repeat associated with sister chromatid cohesion protein
IPR019342	NADH:ubiquinone oxidoreductase, iron-sulphur subunit 5
IPR000922	D-galactoside/L-rhamnose binding SUEL lectin domain
IPR013535	PUL domain
IPR015155	PLAA family ubiquitin binding, PFU
IPR020810	Enolase, C-terminal TIM barrel domain
IPR020811	Enolase, N-terminal
IPR003197	Cytochrome b-c1 complex subunit 7
IPR008831	Mediator complex, subunit Med31
IPR021897	Cilia- and flagella-associated protein 206
IPR003151	PIK-related kinase, FAT
IPR002004	Polyadenylate-binding protein/Hyperplastic disc protein
IPR027329	TPX2, C-terminal
IPR003210	Signal recognition particle, SRP14 subunit
IPR018933	Netrin module, non-TIMP type
IPR004953	EB1, C-terminal
IPR008211	Laminin, N-terminal
IPR001683	Phox homologous domain
IPR006722	Trafficking protein particle complex subunit 2
IPR006953	Vesicle tethering protein Uso1/P115-like , head domain
IPR005331	Sulfotransferase
IPR002935	O-methyltransferase, family 3
IPR008388	ATPase, V1 complex, subunit S1
IPR019559	Cullin protein, neddylation domain
IPR011494	TUP1-like enhancer of split
IPR019015	HIRA B motif
IPR009348	Nitrogen permease regulator 2
IPR025887	Glycoside hydrolase family 31, N-terminal domain
IPR029249	Rotatin, N-terminal
IPR019495	Exosome complex component CSL4
IPR006964	NUDE domain
IPR008795	Prominin
IPR007704	Mannosyltransferase, DXD
IPR019374	Ribosomal protein S22, mitochondrial
IPR005576	RNA polymerase Rpb7, N-terminal
IPR007856	Saposin-like type B, region 1
IPR015418	Chromatin modification-related protein Eaf6
IPR004170	WWE domain
IPR010309	E3 ubiquitin ligase, domain of unknown function DUF908
IPR010314	E3 ubiquitin ligase, domain of unknown function DUF913
IPR025527	Domain of unknown function DUF4414
IPR009025	DNA-directed RNA polymerase, RBP11-like dimerisation domain
IPR005036	CBM21 (carbohydrate binding type-21) domain
IPR013555	Transient receptor ion channel domain
IPR011124	Zinc finger, CW-type
IPR024161	Zinc finger, nanos-type
IPR000642	Peptidase M41
IPR001130	TatD family
IPR018796	Uncharacterised protein family UPF0671
IPR008380	HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase
IPR012858	Dendritic cell-specific transmembrane protein-like
IPR032453	Homeobox protein PKNOX/Meis, N-terminal
IPR001564	Nucleoside diphosphate kinase
IPR004567	Type II pantothenate kinase
IPR010793	Ribosomal protein L37/S30
IPR001881	EGF-like calcium-binding domain
IPR012493	Renin receptor-like
IPR025993	Ceramide glucosyltransferase
IPR015412	Autophagy-related, C-terminal
IPR031642	VPS13, repeated coiled region
IPR000554	Ribosomal protein S7e
IPR007949	SDA1 domain
IPR005756	Ribosomal protein L26/L24, eukaryotic/archaeal
IPR007150	Checkpoint protein Hus1/Mec3
IPR000814	TATA-box binding protein
IPR000651	Ras-like guanine nucleotide exchange factor, N-terminal
IPR000270	PB1 domain
IPR017892	Protein kinase, C-terminal
IPR005201	Glycoside hydrolase, family 85
IPR006696	Protein of unknown function DUF423
IPR001017	Dehydrogenase, E1 component
IPR009395	Biogenesis of lysosome-related organelles complex 1 subunit 1
IPR006800	Pellino family
IPR013126	Heat shock protein 70 family
IPR019497	Sorting nexin protein, WASP-binding domain
IPR032054	DNA replication factor Cdt1, C-terminal
IPR019329	NADH:ubiquinone oxidoreductase, ESSS subunit
IPR002645	STAS domain
IPR011547	SLC26A/SulP transporter domain
IPR007695	DNA mismatch repair protein MutS-like, N-terminal
IPR031981	Mitochondria-eating protein, C-terminal domain
IPR000323	Copper type II, ascorbate-dependent monooxygenase, N-terminal
IPR024548	Copper type II ascorbate-dependent monooxygenase, C-terminal
IPR003782	Copper chaperone SCO1/SenC
IPR033742	IQ motif and SEC7 domain-containing protein, PH domain
IPR002589	Macro domain
IPR000555	JAB1/MPN/MOV34 metalloenzyme domain
IPR012591	PRO8NT domain
IPR012592	PROCN domain
IPR012984	PROCT domain
IPR019580	Pre-mRNA-processing-splicing factor 8, U6-snRNA-binding
IPR019581	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
IPR019582	RNA recognition motif, spliceosomal PrP8
IPR021983	PRP8 domain IV core
IPR010285	DNA helicase Pif1-like
IPR004099	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
IPR009582	Signal peptidase complex subunit 2
IPR011680	Fasciculation and elongation protein zeta, FEZ
IPR018164	Alanyl-tRNA synthetase, class IIc, N-terminal
IPR013105	Tetratricopeptide repeat 2
IPR021183	N-terminal acetyltransferase A, auxiliary subunit
IPR004853	Sugar phosphate transporter domain
IPR001772	Kinase associated domain 1 (KA1)
IPR027370	RING-type zinc-finger, LisH dimerisation motif
IPR007735	Pecanex
IPR006846	Ribosomal protein S30
IPR008138	Saposin B type, region 2
IPR000426	Proteasome alpha-subunit, N-terminal domain
IPR000649	Initiation factor 2B-related
IPR032630	P-type ATPase, C-terminal
IPR004179	Sec63 domain
IPR005301	MOB kinase activator family
IPR006075	Aspartyl/Glutamyl-tRNA(Gln) amidotransferase, subunit B/E, catalytic
IPR007676	Ribophorin I
IPR022136	Domain of unknown function DUF3668
IPR013992	Adenylate cyclase-associated CAP, N-terminal
IPR002653	Zinc finger, A20-type
IPR007719	Phytochelatin synthase
IPR032631	P-type ATPase, N-terminal
IPR000095	CRIB domain
IPR012501	Vps54-likeVacuolar protein sorting-associated protein 54, C-terminal
IPR011893	Selenoprotein, Rdx type
IPR000741	Fructose-bisphosphate aldolase, class-I
IPR005016	Serine incorporator/TMS membrane protein
IPR011677	Domain of unknown function DUF1619
IPR003812	Fido domain
IPR029157	Centrosomal CEP44 domain
IPR032705	Origin recognition complex subunit 4, C-terminal
IPR019489	Clp ATPase, C-terminal
IPR015063	USP8 dimerisation domain
IPR002870	Peptidase M12B, propeptide
IPR015350	Beta-trefoil DNA-binding domain
IPR015351	LAG1, DNA binding
IPR001818	Peptidase M10, metallopeptidase
IPR002477	Peptidoglycan binding-like
IPR018487	Hemopexin-like repeats
IPR002646	Poly A polymerase, head domain
IPR032828	tRNA nucleotidyltransferase/poly(A) polymerase, RNA and SrmB- binding domain
IPR005018	DOMON domain
IPR006593	Cytochrome b561/ferric reductase transmembrane
IPR002792	TRAM domain
IPR007197	Radical SAM
IPR013848	Methylthiotransferase, N-terminal
IPR003780	COX15/CtaA family
IPR000529	Ribosomal protein S6
IPR011511	Variant SH3 domain
IPR014775	L27 domain, C-terminal
IPR008847	Suppressor of forked
IPR006730	Sestrin
IPR013243	SCA7 domain
IPR001387	Cro/C1-type helix-turn-helix domain
IPR013729	Multiprotein bridging factor 1, N-terminal
IPR003097	FAD-binding, type 1
IPR027450	Alpha-ketoglutarate-dependent dioxygenase AlkB-like
IPR001180	Citron homology (CNH) domain
IPR019452	Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 1
IPR019453	Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 2
IPR007120	DNA-directed RNA polymerase, subunit 2, domain 6
IPR007641	RNA polymerase Rpb2, domain 7
IPR007644	RNA polymerase, beta subunit, protrusion
IPR007645	RNA polymerase Rpb2, domain 3
IPR009674	DNA-directed RNA polymerase I subunit RPA2, domain 4
IPR013684	Mitochondrial Rho-like
IPR001424	Superoxide dismutase, copper/zinc binding domain
IPR013621	Ion transport N-terminal
IPR008251	Chromo shadow domain
IPR024766	Zinc finger, RING-H2-type
IPR000043	Adenosylhomocysteinase-like
IPR015878	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
IPR016040	NAD(P)-binding domain
IPR003108	Gas2-related domain
IPR012953	BOP1, N-terminal domain
IPR026755	Protein FAM221A/B
IPR000237	GRIP domain
IPR018863	Fragile site-associated protein, C-terminal
IPR001209	Ribosomal protein S14
IPR032739	MRN complex-interacting protein
IPR003891	Initiation factor eIF-4 gamma, MA3
IPR032432	Radical SAM, C-terminal extension
IPR005607	BSD domain
IPR001609	Myosin head, motor domain
IPR004009	Myosin, N-terminal, SH3-like
IPR002842	ATPase, V1/A1 complex, subunit E
IPR002710	Dilute domain
IPR001190	SRCR domain
IPR001507	Zona pellucida domain
IPR010516	Sin3 associated polypeptide p18
IPR011016	Zinc finger, RING-CH-type
IPR007720	N-acetylglucosaminyl transferase component
IPR005043	CAS/CSE, C-terminal
IPR013713	Exportin/Importin, Cse1-like
IPR006605	G2 nidogen/fibulin G2F
IPR026823	Complement Clr-like EGF domain
IPR007134	Autophagy-related protein 3, N-terminal
IPR019461	Autophagy-related protein 3, C-terminal
IPR004095	TGS
IPR007303	TIP41-like protein
